iter	Passed	Remaining
0	164	164055
1	178	88993
2	191	63712
3	204	50844
4	215	42969
5	227	37720
6	239	33940
7	251	31158
8	262	28929
9	273	27116
10	285	25660
11	296	24451
12	308	23417
13	319	22504
14	330	21720
15	342	21033
16	353	20431
17	364	19882
18	375	19373
19	386	18922
20	397	18515
21	408	18151
22	419	17820
23	430	17522
24	442	17242
25	453	16985
26	464	16746
27	476	16530
28	487	16318
29	498	16130
30	510	15946
31	521	15772
32	532	15611
33	544	15457
34	555	15315
35	566	15176
36	577	15041
37	589	14918
38	600	14803
39	611	14687
40	623	14594
41	635	14501
42	647	14409
43	659	14323
44	671	14240
45	682	14155
46	694	14077
47	706	14002
48	718	13939
49	730	13871
50	742	13810
51	753	13745
52	765	13680
53	777	13624
54	789	13564
55	801	13504
56	813	13450
57	825	13402
58	837	13350
59	848	13293
60	860	13241
61	871	13191
62	884	13149
63	895	13103
64	908	13065
65	920	13028
66	932	12982
67	944	12938
68	955	12898
69	967	12858
70	979	12820
71	992	12786
72	1003	12743
73	1015	12713
74	1027	12674
75	1039	12634
76	1050	12597
77	1062	12564
78	1074	12526
79	1086	12495
80	1098	12460
81	1110	12428
82	1121	12392
83	1133	12359
84	1145	12327
85	1157	12299
86	1169	12270
87	1181	12240
88	1192	12206
89	1204	12174
90	1215	12140
91	1227	12113
92	1238	12082
93	1250	12048
94	1261	12017
95	1273	11987
96	1285	11964
97	1297	11944
98	1310	11928
99	1323	11909
100	1335	11888
101	1348	11869
102	1360	11848
103	1372	11827
104	1385	11808
105	1398	11790
106	1410	11768
107	1422	11749
108	1434	11729
109	1447	11713
110	1460	11695
111	1472	11676
112	1485	11658
113	1497	11638
114	1509	11619
115	1522	11601
116	1535	11584
117	1547	11567
118	1560	11551
119	1573	11536
120	1585	11519
121	1597	11497
122	1609	11478
123	1621	11458
124	1633	11435
125	1645	11414
126	1657	11394
127	1669	11375
128	1681	11352
129	1693	11331
130	1705	11314
131	1717	11292
132	1729	11274
133	1741	11254
134	1753	11234
135	1765	11216
136	1777	11194
137	1788	11172
138	1800	11153
139	1812	11133
140	1824	11113
141	1836	11095
142	1848	11078
143	1860	11061
144	1872	11044
145	1884	11024
146	1896	11005
147	1907	10981
148	1919	10961
149	1930	10941
150	1942	10920
151	1953	10898
152	1964	10877
153	1976	10859
154	1987	10837
155	1999	10816
156	2010	10797
157	2022	10778
158	2034	10759
159	2045	10738
160	2057	10720
161	2068	10700
162	2080	10681
163	2091	10662
164	2103	10643
165	2115	10626
166	2126	10609
167	2138	10592
168	2151	10577
169	2163	10562
170	2175	10547
171	2188	10532
172	2200	10517
173	2212	10503
174	2224	10487
175	2236	10472
176	2249	10458
177	2261	10442
178	2273	10427
179	2285	10410
180	2297	10395
181	2309	10379
182	2320	10362
183	2332	10345
184	2344	10328
185	2355	10309
186	2367	10293
187	2379	10276
188	2391	10260
189	2403	10244
190	2414	10228
191	2426	10213
192	2438	10197
193	2450	10180
194	2461	10162
195	2473	10145
196	2484	10126
197	2496	10111
198	2507	10094
199	2519	10078
200	2531	10061
201	2543	10046
202	2555	10031
203	2566	10015
204	2579	10002
205	2590	9986
206	2602	9971
207	2614	9955
208	2625	9938
209	2637	9923
210	2649	9907
211	2661	9891
212	2673	9877
213	2685	9861
214	2696	9846
215	2709	9833
216	2721	9819
217	2732	9801
218	2743	9783
219	2754	9767
220	2766	9751
221	2777	9733
222	2788	9717
223	2800	9700
224	2811	9684
225	2822	9667
226	2834	9650
227	2844	9632
228	2856	9616
229	2867	9600
230	2879	9585
231	2890	9569
232	2902	9553
233	2913	9536
234	2924	9521
235	2936	9505
236	2948	9491
237	2959	9475
238	2971	9461
239	2982	9445
240	2994	9431
241	3006	9416
242	3014	9391
243	3025	9375
244	3037	9360
245	3049	9345
246	3060	9330
247	3072	9315
248	3083	9300
249	3095	9286
250	3107	9271
251	3118	9256
252	3130	9242
253	3142	9229
254	3154	9215
255	3165	9200
256	3177	9186
257	3188	9170
258	3199	9154
259	3211	9139
260	3223	9125
261	3234	9112
262	3246	9097
263	3257	9082
264	3269	9068
265	3281	9054
266	3291	9037
267	3303	9023
268	3313	9003
269	3324	8989
270	3332	8963
271	3342	8947
272	3354	8933
273	3365	8918
274	3377	8903
275	3388	8887
276	3399	8873
277	3411	8858
278	3422	8844
279	3433	8829
280	3444	8813
281	3455	8798
282	3466	8782
283	3477	8767
284	3488	8751
285	3499	8735
286	3510	8721
287	3521	8706
288	3533	8692
289	3543	8675
290	3552	8655
291	3563	8640
292	3575	8626
293	3586	8612
294	3597	8598
295	3609	8583
296	3620	8570
297	3631	8555
298	3643	8542
299	3654	8527
300	3666	8514
301	3677	8500
302	3689	8487
303	3702	8475
304	3714	8463
305	3725	8449
306	3737	8436
307	3748	8422
